"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13","13","C","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C14,C15,C16,C17,C37,C40","6","100n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C18","1","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2,D3,D4,D5,D8,D10,D11","8","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D6,D7,D9","3","DT6250-06MR-13","","","","TWOLF_FOOTPRINTS:SOP65P490X110-8N","https://www.diodes.com//assets/Datasheets/DT6250-06MR.pdf"
"D12","1","ESDA25W","","","","TWOLF_FOOTPRINTS:SOT65P210X110-3N",""
"FB1","1","600R","","","","","~"
"H1,H2,H3,H4,H5,H6,H7,H8","8","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.5mm","~"
"J1","1","430450619","","","","TWOLF_FOOTPRINTS:CONN_SD-43045-007_06_MOL","https://www.molex.com/en-us/products/part-detail-pdf/430450619?display=pdf"
"R1,R4,R6,R8,R10,R20,R23,R24","8","2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R3,R5,R7,R9,R11,R13,R14,R15,R16,R17,R18,R19","13","470R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R12","1","R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R21,R22","2","2k2","","","","Resistor_SMD:R_0805_2012Metric","~"
"RV1,RV2","2","R_Potentiometer","","","","","~"
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13","13","SW_Push","","","","","~"
"U1","1","FS32K118LAT0MLHT","","","","TWOLF_FOOTPRINTS:QFP50P1200X1200X160-64N",""
"U2,U3","2","ANT13SECQE","","","","TWOLF_FOOTPRINTS:ANT13SEC_CRS","ANT13SECQE"
"U13","1","MCP2542FD","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
